IPaddress,Day,Hour,Minute,Second,Info,Reply,Bytes
141.243.1.172,29,23,53,25,"GET/Software.htmlHTTP/1.0",200,1497
query2.lycos.cs.cmu.edu,29,23,53,36,"GET/Consumer.htmlHTTP/1.0",200,1325
tanuki.twics.com,29,23,53,53,"GET/News.htmlHTTP/1.0",200,1014
wpbfl2-45.gate.net,29,23,54,15,"GET/HTTP/1.0",200,4889
wpbfl2-45.gate.net,29,23,54,16,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
wpbfl2-45.gate.net,29,23,54,18,"GET/logos/small_gopher.gifHTTP/1.0",200,935
140.112.68.165,29,23,54,19,"GET/logos/us-flag.gifHTTP/1.0",200,2788
wpbfl2-45.gate.net,29,23,54,19,"GET/logos/small_ftp.gifHTTP/1.0",200,124
wpbfl2-45.gate.net,29,23,54,19,"GET/icons/book.gifHTTP/1.0",200,156
wpbfl2-45.gate.net,29,23,54,19,"GET/logos/us-flag.gifHTTP/1.0",200,2788
tanuki.twics.com,29,23,54,19,"GET/docs/OSWRCRA/general/hotlineHTTP/1.0",302,0
wpbfl2-45.gate.net,29,23,54,20,"GET/icons/ok2-0.gifHTTP/1.0",200,231
tanuki.twics.com,29,23,54,25,"GET/OSWRCRA/general/hotline/HTTP/1.0",200,991
tanuki.twics.com,29,23,54,37,"GET/docs/OSWRCRA/general/hotline/95reportHTTP/1.0",302,0
wpbfl2-45.gate.net,29,23,54,37,"GET/docs/browner/adminbio.htmlHTTP/1.0",200,4217
tanuki.twics.com,29,23,54,40,"GET/OSWRCRA/general/hotline/95report/HTTP/1.0",200,1250
wpbfl2-45.gate.net,29,23,55,1,"GET/docs/browner/cbpress.gifHTTP/1.0",200,51661
dd15-032.compuserve.com,29,23,55,21,"GET/Access/chapter1/s2-4.htmlHTTP/1.0",200,4602
tanuki.twics.com,29,23,55,23,"GET/docs/OSWRCRA/general/hotline/95report/05_95mhr.txt.htmlHTTP/1.0",200,56431
wpbfl2-45.gate.net,29,23,55,29,"GET/docs/AccessHTTP/1.0",302,0
140.112.68.165,29,23,55,33,"GET/logos/us-flag.gifHTTP/1.0",200,2788
wpbfl2-45.gate.net,29,23,55,46,"GET/information.htmlHTTP/1.0",200,617
wpbfl2-45.gate.net,29,23,55,47,"GET/icons/people.gifHTTP/1.0",200,224
wpbfl2-45.gate.net,29,23,56,3,"GET/docs/AccessHTTP/1.0",302,0
wpbfl2-45.gate.net,29,23,56,12,"GET/Access/HTTP/1.0",200,2376
wpbfl2-45.gate.net,29,23,56,14,"GET/Access/images/epaseal.gifHTTP/1.0",200,2624
tanuki.twics.com,29,23,56,24,"GET/OSWRCRA/general/hotline/95report/HTTP/1.0",200,1250
freenet2.carleton.ca,29,23,56,36,"GET/emap/html/regions/four/HTTP/1.0",200,15173
wpbfl2-45.gate.net,29,23,57,5,"GET/waisicons/unknown.gifHTTP/1.0",200,83
ix-mia5-17.ix.netcom.com,29,23,57,6,"GET/OWOW/HTTP/1.0",200,1501
wpbfl2-45.gate.net,29,23,57,8,"POST/cgi-bin/waisgate/134.67.99.11=earth1.epa.gov=210=/indexes/ACCESS=gopher%40earth1.epa.gov=0.00=freeHTTP/1.0",200,26217
wpbfl2-45.gate.net,29,23,57,12,"GET/waisicons/text.xbmHTTP/1.0",200,527
ix-knx-tn1-22.ix.netcom.com,29,23,57,28,"GET/HTTP/1.0",200,4889
hmu4.cs.auckland.ac.nz,29,23,57,35,"GET/docs/GCDOAR/EnergyStar.htmlHTTP/1.0",200,6829
ix-knx-tn1-22.ix.netcom.com,29,23,57,38,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
suburbia.apana.org.au,29,23,57,39,"GET/docs/PressReleases/1995/August/Day-22HTTP/1.0",302,0
hmu4.cs.auckland.ac.nz,29,23,57,39,"GET/docs/GCDOAR/gifs/estarcsm.gifHTTP/1.0",200,7005
hmu4.cs.auckland.ac.nz,29,23,57,40,"GET/docs/GCDOAR/gifs/gl.gifHTTP/1.0",200,3302
suburbia.apana.org.au,29,23,57,45,"GET/PressReleases/1995/August/Day-22/HTTP/1.0",200,1535
